Id	Pathway	Gene
hsa00140	Steroid hormone biosynthesis	79154
hsa00140	Steroid hormone biosynthesis	7923
hsa00140	Steroid hormone biosynthesis	79644
hsa00140	Steroid hormone biosynthesis	79799
hsa00140	Steroid hormone biosynthesis	8630
hsa00140	Steroid hormone biosynthesis	8644
hsa00140	Steroid hormone biosynthesis	9420
hsa00190	Oxidative phosphorylation	100532726
hsa00190	Oxidative phosphorylation	10063
hsa00190	Oxidative phosphorylation	10312
hsa00190	Oxidative phosphorylation	10476
hsa00190	Oxidative phosphorylation	10632
hsa00190	Oxidative phosphorylation	10975
hsa00190	Oxidative phosphorylation	125965
hsa00190	Oxidative phosphorylation	126328
hsa00190	Oxidative phosphorylation	127124
hsa00190	Oxidative phosphorylation	1327
hsa00190	Oxidative phosphorylation	1329
hsa00190	Oxidative phosphorylation	1337
hsa00190	Oxidative phosphorylation	1339
hsa00190	Oxidative phosphorylation	1340
hsa00190	Oxidative phosphorylation	1345
hsa00190	Oxidative phosphorylation	1346
hsa00190	Oxidative phosphorylation	1347
hsa00190	Oxidative phosphorylation	1349
hsa00190	Oxidative phosphorylation	1350
hsa00190	Oxidative phosphorylation	1351
hsa00190	Oxidative phosphorylation	1352
hsa00190	Oxidative phosphorylation	1353
hsa00190	Oxidative phosphorylation	1355
hsa00190	Oxidative phosphorylation	1537
hsa00190	Oxidative phosphorylation	155066
hsa00190	Oxidative phosphorylation	170712
hsa00190	Oxidative phosphorylation	23545
hsa00190	Oxidative phosphorylation	245972
hsa00190	Oxidative phosphorylation	245973
hsa00190	Oxidative phosphorylation	27068
hsa00190	Oxidative phosphorylation	27089
hsa00190	Oxidative phosphorylation	29796
hsa00190	Oxidative phosphorylation	341947
hsa00190	Oxidative phosphorylation	374291
hsa00190	Oxidative phosphorylation	440567
hsa00190	Oxidative phosphorylation	4508
hsa00190	Oxidative phosphorylation	4509
hsa00190	Oxidative phosphorylation	4512
hsa00190	Oxidative phosphorylation	4513
hsa00190	Oxidative phosphorylation	4514
hsa00190	Oxidative phosphorylation	4519
hsa00190	Oxidative phosphorylation	4535
hsa00190	Oxidative phosphorylation	4536
hsa00190	Oxidative phosphorylation	4537
hsa00190	Oxidative phosphorylation	4538
hsa00190	Oxidative phosphorylation	4539
hsa00190	Oxidative phosphorylation	4540
hsa00190	Oxidative phosphorylation	4541
hsa00190	Oxidative phosphorylation	4694
hsa00190	Oxidative phosphorylation	4695
hsa00190	Oxidative phosphorylation	4696
hsa00190	Oxidative phosphorylation	4697
hsa00190	Oxidative phosphorylation	4698
